questions,reponses
bonjour ,"Bonjour, comment puis-je vous aider ?"
Salut,"Salut, comment puis-je vous aider ?"
Bonsoir,"Bonsoir, comment puis-je vous aider ?"
Infos sur L'ESP,"L'École Supérieure Polytechnique (ESP) de Dakar a été créée en 1961. Elle a été fondée dans le cadre de l'Université de Dakar, qui est devenue plus tard l'Université Cheikh Anta Diop de Dakar (UCAD). L'ESP est l'une des premières écoles d'ingénieurs à avoir été établies en Afrique de l'Ouest francophone, et elle a joué un rôle important dans le développement de l'enseignement supérieur technique et scientifique dans la région."
Quels sont les programmes de formation de l'ESP,"L'ESP offre des programmes de formation dans divers domaines de formation de l'ingénierie, tels que le génie civil, le génie électrique, le génie mécanique, le génie informatique, le génie des télécommunications, le génie pétrolier, etc. Elle propose également des formations dans des domaines connexes comme la gestion de projet, la recherche opérationnelle, etc."
Que vise L'ESP ?,"L'école vise à former des ingénieurs et des techniciens de haut niveau capables de contribuer au développement économique et technologique du Sénégal et de la région ouest-africaine. Elle est réputée pour la qualité de son enseignement et de sa recherche, et attire des étudiants non seulement du Sénégal mais aussi de pays voisins."
Queles sont les objectifs de l'ESP ?,"L'école vise à former des ingénieurs et des techniciens de haut niveau capables de contribuer au développement économique et technologique du Sénégal et de la région ouest-africaine. Elle est réputée pour la qualité de son enseignement et de sa recherche, et attire des étudiants non seulement du Sénégal mais aussi de pays voisins."
Quels sont les frais de scolarité annuel de la formation DST Informatique à l'ESP ?,Les frais de scolarité annuel de la formation DST Informatique s'élèvent à 1.035.000 FCFA
Quels sont les frais de scolarité annuel de la formation Systèmes et réseaux ?,Les frais de scolarité annuel de la formation Systèmes et réseaux s'élèvent à 1.035.000 FCFA
Quelles sont les étapes à suivre pour postuler à un programme de DST Informatique/Licence/Master à l'ESP ?,"Il y a généralement sept étapes à suivre pour postuler à un programme de DST Informatique à l'ESP. Ces étapes sont : Recherche d'information : Vous pouvez visiter le site Web de l'École Supérieure Polytechnique pour obtenir des informations détaillées sur le programme de DST, y compris les prérequis, les dates importantes et les documents nécessaires. Vérification des conditions d'admission : Assurez-vous de répondre aux critères d'admission spécifiques du programme, comme les qualifications académiques, l'expérience professionnelle, ou les tests spécifiques. Préparation des documents : Il faut avoir nécessairement à sa disposition ces documents pour avoir une chance d'être admis : Diplômes et relevés de notes, Lettre de motivation, Curriculum Vitae (CV), Lettres de recommandation, Photocopie de la pièce d'identité. Paiement des frais de dossier : Payez les frais de dossier selon les modalités. Soumission de la candidature : Soumettez votre candidature avant la date limite. Assurez-vous que tous les champs sont correctement remplis et que tous les documents sont attachés. Examen du dossier : L'école examine les dossiers de candidature. Vous pourriez être convoqué pour un entretien ou un test supplémentaire en fonction des exigences du programme. Réception de la réponse : Attendez la réponse de l'école. Si vous êtes accepté, vous recevrez une lettre d'acceptation avec des instructions supplémentaires sur les prochaines étapes. Voici donc les étapes à suivre pour postuler à un programme de DST/Licence/Master."
Quelles sont les dates limites pour soumettre ma candidature ?,"Les dates limites pour soumettre une candidature à l'ESP peuvent varier d'une année à l'autre et selon le programme spécifique. Pour obtenir les dates les plus récentes, il est crucial de consulter directement le site web de l'ESP ou de contacter leur service des admissions."
Quand commencent les inscriptions pour le semestre prochain ?,Début des inscriptions : Les inscriptions pour le cycle DUT commenceront le 3 janvier 2024 et se poursuivront jusqu'au 1er février 2024. Dépôt des dossiers : Les bacheliers et les candidats individuels au BAC peuvent dès à présent déposer leurs dossiers de candidature à la Scolarité de l'ESP Dakar. Dates de téléversement des pièces justificatives : Toutes les pièces justificatives doivent être téléversées sur le site d'inscription entre le 9 décembre et le 23 janvier 2024 à 17h.
Comment vérifier le statut de ma candidature ?,"Pour vérifier le statut de votre candidature à l'École Supérieure Polytechnique (ESP) de Dakar, voici les étapes générales que vous pouvez suivre :"
Combien de départements l'ESP dispose ?,"L'ESP dispose de six départements à savoir : Génie Informatique, Génie Chimique, Gestion, Génie Mécanique, Génie Civil, Génie Électrique"
Pourquoi choisir l'ESP ?,"Choisir l'ESP, c'est intégrer un établissement pluridisciplinaire de renommée mondiale, donner le meilleur de soi-même pour suivre une formation de haut niveau, et rejoindre une communauté de plus de 20 617 étudiantes et étudiants, et 30 000 alumni dans le monde entier."
Quelles sont les formations spécifiques proposées par le Département Génie Chimique ?,"Pour répondre aux besoins des industries chimiques, alimentaires et des laboratoires d'analyses et de contrôle, le Département Génie Chimique et Biologie Appliquée a mis en place différentes formations pour : le personnel technique du niveau DUT (Diplôme Universitaire de Technologie) en Génie Chimique, en Industries Alimentaires et en Analyses Biologiques, le personnel d'encadrement du niveau DIC (Diplôme d'Ingénieur Technologie) en Génie des procédés appliqué aux industries chimiques et aux industries agroalimentaire. Grâce à leur solide formation en sciences fondamentales et en sciences de l'ingénieur, ils sauront conduire et contrôler toutes les activités qui touchent le domaine du génie des procédés. Formés aux sciences humaines et à la gestion des entreprises, aux langues étrangères, aux nouvelles technologies de l'information et de la communication, les diplômés du Département Génie Chimique et Biologie Appliquée seront les cadres indispensables à l'entreprise, capables de manager une équipe, de tisser de véritables relations humaines et sociales mais également de transmettre leurs connaissances. Ils seront capables de dialoguer avec les différents spécialistes qui interviennent dans les différentes étapes du process industriel."
